paper_id,filename,abstract_len,figure_count,num_links
paper_01,Inductive_Representation_Learning_on_Temporal_Graphs.pdf,1464,8,10
paper_02,Graph_Convolutional_NNs_for_Web-Scale_Recommender_Systems.pdf,1461,11,1
paper_03,Temporal_Graph_Networks_for_DeepLearning_on_Dynamic_Graphs.pdf,1169,8,20
paper_04,Graph_Attention_Networks.pdf,1042,5,6
paper_05,Detecting_Fake_Reviewer_Groups_in_Dynamic_Networks_Adaptative_Graph_Learning_Method.pdf,1382,8,4
paper_06,Semi-Supervised_Learning_on_Graphs_using_Graph_Neural_Networks.pdf,1088,10,2
paper_07,Learning_to_Dispatch_for_Job_Shop_Scheduling_via_Deep_Reinforcement_Learning.pdf,881,8,4
paper_08,A_Closer_Look_at_Invalid_Action_Masking_in_Policy_Gradient_Algorithms.pdf,889,6,5
paper_09,Unified_Fractional_Spectral_Framework_for_Spatiotemporal_Graph_Signals.pdf,1399,3,1
paper_10,Next_Generation_Graph_Analytics_with_LLMs.pdf,1326,14,76
